"years","jugador","edad","g","pa","ab","r","h","2b","3b","hr","rbi","sb","cs","bb","so","avg","obp","slg","ops","rc","tb","xb","hbp","sh","sf","refuerzo","resultado"
"1964-65","J. Grote",22,3,,4,2,2,1,0,0,0,0,,,,0.5,,0.75,0,,3,1,,,,"NO","campeon"
"1970-71","J. Cram",23,2,,6,0,2,0,0,0,1,0,,,,333,,333,0,,2,0,,,,"NO","campeon"
"1971-72","J. Cardenal",28,7,,27,6,7,1,2,1,2,0,,,,259,,556,0,,15,4,,,,"NO","subcampeon"
"1970-71","J. Cardenal",27,7,,28,1,5,0,1,0,2,1,,,,179,,0.25,0,,7,1,,,,"NO","campeon"
"1965-66","J. Bracho",37,1,,2,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","campeon"
"1966-67","J. Bateman",26,5,,18,5,5,1,0,2,4,0,,,,278,,667,0,,12,3,,,,"NO","subcampeon"
"1965-66","J. Bateman",25,6,,26,1,6,0,0,0,2,0,,,,231,,231,0,,6,0,,,,"NO","campeon"
"2011-12","H. Sánchez",22,5,20,18,3,6,0,1,1,5,0,0,2,5,333,0.4,611,1011,4.4,11,2,0,0,0,"NO","subcampeon"
"1968-69","H. Brito",22,1,,1,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","campeon"
"1964-65","G. Ravelo",30,1,,1,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","campeon"
"1986-87","G. Polidor",25,2,,6,0,1,0,0,0,0,0,,,,167,,167,0,,1,0,,,,"NO","subcampeon"
"1985-86","G. Polidor",24,7,,28,3,6,0,0,0,4,1,,,,214,,214,0,,6,0,,,,"NO","campeon"
"1984-85","G. Polidor",23,4,,16,3,9,2,0,0,3,0,,,,563,,688,0,,11,2,,,,"NO","campeon"
"1966-67","G. Parra",23,2,,2,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"SI","subcampeon"
"1969-70","G. Nettles",25,3,,11,0,5,1,0,0,0,0,,,,455,,545,0,,6,1,,,,"SI","subcampeon"
"1964-65","G. Kroll",23,1,,3,0,1,0,0,0,1,0,,,,333,,333,0,,1,0,,,,"NO","campeon"
"1964-65","G. Gil",25,5,,20,4,5,0,0,0,3,0,,,,0.25,,0.25,0,,5,0,,,,"SI","campeon"
"1976-77","G. Enright",22,1,,3,0,1,0,0,0,0,0,,,,333,,333,0,,1,0,,,,"NO","subcampeon"
"1966-67","G. Brabender",25,4,,2,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","subcampeon"
"2011-12","G. Blanco",28,6,27,22,1,4,1,0,0,2,1,1,5,7,182,333,227,561,1.7,5,1,0,0,0,"NO","subcampeon"
"1969-70","F. Rico",25,3,,3,0,1,1,0,0,0,0,,,,333,,667,0,,2,1,,,,"NO","subcampeon"
"1970-71","E. Spiezio",29,4,,14,2,3,0,0,1,1,0,,,,214,,429,0,,6,1,,,,"NO","campeon"
"1984-85","E. Miller",27,4,,13,2,2,0,0,0,1,1,,,,154,,154,0,,2,0,,,,"NO","campeon"
"1986-87","E. Marquez",21,3,,8,0,1,0,0,0,0,0,,,,125,,125,0,,1,0,,,,"NO","subcampeon"
"1985-86","E. Marquez",20,1,,2,0,1,0,0,0,1,0,,,,0.5,,0.5,0,,1,0,,,,"NO","campeon"
"1971-72","E. Hernández",22,7,,28,2,7,0,1,0,2,1,,,,0.25,,321,0,,9,1,,,,"NO","subcampeon"
"1970-71","E. Hernández",21,6,,23,3,7,1,0,0,3,2,,,,304,,348,0,,8,1,,,,"NO","campeon"
"1969-70","E. Hernández",20,3,,11,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","subcampeon"
"1968-69","E. Hernández",19,9,,29,2,7,0,0,0,5,0,,,,241,,241,0,,7,0,,,,"NO","campeon"
"1968-69","E. Gutierrez",23,1,,2,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","campeon"
"2011-12","E. Escobar",22,4,10,9,0,0,0,0,0,0,0,0,1,2,0,0.1,0,0.1,0,0,0,0,0,0,"NO","subcampeon"
"1966-67","E. Chacon",30,5,,12,0,2,1,0,0,3,0,,,,167,,0.25,0,,3,1,,,,"NO","subcampeon"
"1964-65","E. Chacon",28,5,,21,3,7,2,0,0,2,2,,,,333,,429,0,,9,2,,,,"NO","campeon"
"1968-69","E. Camejo",24,2,,2,1,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","campeon"
"1966-67","E. Camejo",22,2,,2,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","subcampeon"
"1982-83","E. Bonaparte",25,5,,11,3,4,1,0,1,3,1,,,,364,,727,0,,8,2,,,,"NO","campeon"
"2011-12","E. Bellorin",29,2,4,2,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0.5,0,0,0,1,0,0,"NO","subcampeon"
