"N","Player Id","Temporada","Fecha","Juego","Equipo","orden","Jugador","IP","H","C","CL","HR","BB","SO","BF","EFE","G","P","SV","BS","HLD","Estadio","oponente","ronda"
77,,"2021-22","31/10/2021",7,"Aguilas del Zulia",4,"Zaquiel Puentes",1,0,0,0,0,0,1,3,6,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular"
78,,"2021-22","31/10/2021",7,"Aguilas del Zulia",5,"Luis Moncada",1,0,0,0,0,0,2,3,20.25,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular"
79,"idreud001","2021-22","31/10/2021",7,"Tiburones de la Guaira",1,"Eudis Idrogo",4,7,2,2,0,1,1,20,5.14,0,0,0,0,0,"Estadio Universitario","Aguilas del Zulia","regular"
80,"ortant001","2021-22","31/10/2021",7,"Tiburones de la Guaira",2,"Anthony Ortega",1.2,2,1,1,0,0,1,7,7.71,0,0,0,0,0,"Estadio Universitario","Aguilas del Zulia","regular"
81,"guzemi001","2021-22","31/10/2021",7,"Tiburones de la Guaira",3,"Emilker Guzman ",0.2,1,0,0,0,1,0,4,7.71,1,0,0,0,0,"Estadio Universitario","Aguilas del Zulia","regular"
82,"guzlui001","2021-22","31/10/2021",7,"Tiburones de la Guaira",4,"Luis Guzman ",1,0,0,0,0,0,0,3,2.45,0,0,0,0,1,"Estadio Universitario","Aguilas del Zulia","regular"
83,"hernel001","2021-22","31/10/2021",7,"Tiburones de la Guaira",5,"Nelson Hernandez",1.2,2,1,1,0,0,2,7,6.75,0,0,0,0,0,"Estadio Universitario","Aguilas del Zulia","regular"
84,,"2021-22","02/11/2021",8,"Navegantes del Magallanes",1,"Erick Leal ",4,7,4,4,2,0,3,20,3.55,0,1,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular"
85,,"2021-22","02/11/2021",8,"Navegantes del Magallanes",2,"Yohander Méndez",1,0,0,0,0,0,0,3,0,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular"
86,,"2021-22","02/11/2021",8,"Navegantes del Magallanes",3,"Jose Martinez",1,1,1,1,0,0,1,4,15.43,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular"
87,,"2021-22","02/11/2021",8,"Navegantes del Magallanes",4,"Gabriel Moya",0.2,1,0,0,0,1,0,3,0,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular"
88,,"2021-22","02/11/2021",8,"Navegantes del Magallanes",5,"Luis Martinez",0.1,0,0,0,0,0,1,1,3.38,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular"
89,,"2021-22","02/11/2021",8,"Navegantes del Magallanes",6,"Henderson Alvarez III",1,1,0,0,0,0,0,3,0,0,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular"
90,"smimyl001","2021-22","02/11/2021",8,"Tiburones de la Guaira",1,"Myles Smith",4,2,0,0,0,2,3,14,0,0,0,0,0,0,"Estadio Universitario","Navegantes del Magallanes","regular"
91,"cabjea001","2021-22","02/11/2021",8,"Tiburones de la Guaira",2,"Jean Cabrera",1,2,1,1,1,0,1,5,4.5,0,0,0,0,0,"Estadio Universitario","Navegantes del Magallanes","regular"
92,"acoald001","2021-22","02/11/2021",8,"Tiburones de la Guaira",3,"Aldry Acosta ",2,1,0,0,0,0,1,5,2.25,1,0,0,0,0,"Estadio Universitario","Navegantes del Magallanes","regular"
93,"infgre001","2021-22","02/11/2021",8,"Tiburones de la Guaira",4,"Gregory Infante",1,0,0,0,0,0,3,3,5.4,0,0,0,0,0,"Estadio Universitario","Navegantes del Magallanes","regular"
94,"herarn001","2021-22","02/11/2021",8,"Tiburones de la Guaira",5,"Arnaldo Hernandez",1,1,0,0,0,1,1,5,13.5,0,0,0,0,0,"Estadio Universitario","Navegantes del Magallanes","regular"
95,,"2021-22","03/11/2021",9,"Cardenales de Lara",1,"Raul Rivero ",5,3,1,1,0,4,4,21,1.93,1,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular"
96,,"2021-22","03/11/2021",9,"Cardenales de Lara",2,"Jackson Stephens ",2,0,0,0,0,1,4,7,1.04,0,0,0,0,1,"Estadio Universitario","Tiburones de la Guaira","regular"
97,,"2021-22","03/11/2021",9,"Cardenales de Lara",3,"Argenis Angulo ",1,2,0,0,0,0,1,4,5.4,0,0,0,0,1,"Estadio Universitario","Tiburones de la Guaira","regular"
98,,"2021-22","03/11/2021",9,"Cardenales de Lara",4,"Shane Greene",1,0,0,0,0,0,2,3,0,0,1,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular"
99,"diavic001","2021-22","03/11/2021",9,"Tiburones de la Guaira",1,"Victor Diaz ",2.2,4,4,2,0,4,0,16,5.23,0,0,0,0,0,"Estadio Universitario","Cardenales de Lara","regular"
100,"hernel001","2021-22","03/11/2021",9,"Tiburones de la Guaira",2,"Nelson Hernandez",1.2,1,0,0,0,1,1,8,4.15,0,0,0,0,0,"Estadio Universitario","Cardenales de Lara","regular"
101,"paleug001","2021-22","03/11/2021",9,"Tiburones de la Guaira",3,"Eugenio Palma",1.1,1,0,0,0,0,1,4,0,0,0,0,0,0,"Estadio Universitario","Cardenales de Lara","regular"
102,"pinjul001","2021-22","03/11/2021",9,"Tiburones de la Guaira",4,"Julio Pinto",1.1,1,0,0,0,0,2,5,0,0,0,0,0,0,"Estadio Universitario","Cardenales de Lara","regular"
103,"guzlui001","2021-22","03/11/2021",9,"Tiburones de la Guaira",5,"Luis Guzman",1,0,1,0,0,0,2,4,1.93,0,0,0,0,0,"Estadio Universitario","Cardenales de Lara","regular"
104,"covraf001","2021-22","03/11/2021",9,"Tiburones de la Guaira",6,"Rafael Cova",1,1,0,0,0,0,1,4,8.1,0,0,0,0,0,"Estadio Universitario","Cardenales de Lara","regular"
