"N","Player id","Temporada","Fecha","Juego","Equipo","Posicion","Orden_bat","Jugador","AB","R","H","2B","3B","HR","RBI","BB","SO","LOB","AVE","Estadio","oponente"
273,,"2021-22","07/11/2021",13,"Cardenales de Lara","RF",2,"Yordanys Linares ",4,0,0,0,0,0,1,0,1,2,0.298,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira"
274,,"2021-22","07/11/2021",13,"Cardenales de Lara","LF",3,"Pedro Castellanos ",3,0,1,0,0,0,0,0,1,0,0.316,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira"
275,,"2021-22","07/11/2021",13,"Cardenales de Lara","PR",,"Yonathan Mendoza ",0,1,0,0,0,0,0,0,0,0,0.333,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira"
276,,"2021-22","07/11/2021",13,"Cardenales de Lara","C",,"Jose Sibrian ",0,0,0,0,0,0,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira"
277,,"2021-22","07/11/2021",13,"Cardenales de Lara","3B",4,"Carlos Rivero ",3,0,0,0,0,0,0,1,0,1,0.308,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira"
278,,"2021-22","07/11/2021",13,"Cardenales de Lara","SS",5,"Juniel Querecuto ",4,0,1,0,0,0,1,0,0,2,0.303,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira"
279,,"2021-22","07/11/2021",13,"Cardenales de Lara","C",6,"Ali Sánchez ",3,0,0,0,0,0,0,0,2,1,0.235,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira"
280,,"2021-22","07/11/2021",13,"Cardenales de Lara","PH-CF",,"Gorkys Hernández ",0,0,0,0,0,0,0,1,0,0,0.364,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira"
281,,"2021-22","07/11/2021",13,"Cardenales de Lara","1B",7,"Alberto Callaspo ",3,0,0,0,0,0,1,1,1,1,0.238,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira"
282,,"2021-22","07/11/2021",13,"Cardenales de Lara","DH",8,"Jose Tabata ",3,0,1,0,0,0,0,0,0,0,0.214,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira"
283,,"2021-22","07/11/2021",13,"Cardenales de Lara","PR",,"Cesar Izturis Jr. ",0,1,0,0,0,0,0,0,0,0,0,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira"
284,,"2021-22","07/11/2021",13,"Cardenales de Lara","PH-DH",,"Osman Marval ",1,0,0,0,0,0,0,0,0,3,0.233,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira"
285,,"2021-22","07/11/2021",13,"Cardenales de Lara","CF-LF",9,"Manuel Melendez ",3,3,3,1,0,0,0,1,0,0,0.333,"Estadio Antonio Herrera Gutierrez","Tiburones de la Guaira"
931,"cedlor001","2021-22","17/12/2022",45,"Tiburones de la Guaira","CF",1,"Lorenzo Cedrola ",5,1,1,1,0,0,0,0,2,5,0.233,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara"
932,"vasdan001","2021-22","17/12/2022",45,"Tiburones de la Guaira","RF",2,"Danry Vasquez ",4,0,0,0,0,0,0,0,2,2,0.25,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara"
933,"marjos002","2021-22","17/12/2022",45,"Tiburones de la Guaira","1B",3,"José Martínez ",3,1,1,0,0,0,1,1,0,0,0.278,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara"
934,"torjun001","2021-22","17/12/2022",45,"Tiburones de la Guaira","C",4,"Juan Torres ",3,0,0,0,0,0,0,1,0,2,0.205,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara"
935,"duredg001","2021-22","17/12/2022",45,"Tiburones de la Guaira","3B",5,"Edgar Duran ",4,0,2,0,0,0,0,0,1,2,0.302,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara"
936,"sosjun001","2021-22","17/12/2022",45,"Tiburones de la Guaira","LF",6,"Junior Sosa ",4,1,0,0,0,0,1,0,0,4,0.258,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara"
937,"guzjes001","2021-22","17/12/2022",45,"Tiburones de la Guaira","DH",7,"Jesus Guzman ",4,0,1,0,0,0,0,0,2,0,0.258,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara"
938,"melkel001","2021-22","17/12/2022",45,"Tiburones de la Guaira","SS",8,"Kelvin Melean ",4,0,1,0,0,0,1,0,1,0,0.239,"Estadio Antonio Herrera Gutierrez","Cardenales de Lara"
