"","years","edad","w","l","w-l%","era","g","gs","cg","sho","sv","ip","h","r","er","hr","bb","so","whip","h/9","hr/9","bb/9","so/9","so/bb","bk","refuerzo"
"116","2003-04","22","0","0","","6.75","4","0","0","","0","1.1","0","","1","","1","2","0.750","0.00","","6.75","13.50","2.0000","","NO"
"117","2003-04","22","1","0","1.0000","3.00","2","1","0","","0","6.0","8","","2","","1","2","1.500","12.00","","1.50","3.00","2.0000","","NO"
"118","2003-04","21","0","0","","0.00","1","0","0","","0","1.0","0","","0","","0","0","0.000","0.00","","0.00","0.00","","","NO"
"119","2007-08","24","3","0","1.0000","1.96","4","4","0","0","0","23.0","18","5","5","0","4","24","0.957","7.04","0.00","1.57","9.39","6.0000","0","SI"
"120","2007-08","25","0","1","0.0000","0.00","7","0","0","0","4","8.1","4","1","0","0","1","13","0.600","4.32","0.00","1.08","14.04","13.0000","0","NO"
"121","2007-08","28","2","2","0.5000","3.57","4","4","0","0","0","22.2","28","12","9","2","5","13","1.456","11.12","0.79","1.99","5.16","2.6000","0","NO"
"122","2007-08","33","2","1","0.6667","4.34","4","4","0","0","0","18.2","22","10","9","1","9","12","1.661","10.61","0.48","4.34","5.79","1.3333","0","NO"
"123","2007-08","25","0","2","0.0000","7.62","3","3","0","0","0","13.0","19","12","11","2","4","7","1.769","13.15","1.38","2.77","4.85","1.7500","0","NO"
"124","2007-08","26","0","0","","2.57","5","0","0","0","0","7.0","5","2","2","0","2","5","1.000","6.43","0.00","2.57","6.43","2.5000","0","NO"
"125","2007-08","21","0","0","","2.08","5","0","0","0","0","4.1","5","1","1","1","1","4","1.385","10.38","2.08","2.08","8.31","4.0000","0","NO"
"126","2007-08","29","0","0","","0.00","3","0","0","0","0","3.0","4","0","0","0","3","3","2.333","12.00","0.00","9.00","9.00","1.0000","0","NO"
"127","2007-08","29","0","0","","6.43","7","0","0","0","0","7.0","8","5","5","0","3","3","1.571","10.29","0.00","3.86","3.86","1.0000","0","SI"
"128","2007-08","24","0","1","0.0000","2.84","3","1","0","0","0","6.1","9","3","2","0","2","2","1.737","12.79","0.00","2.84","2.84","1.0000","0","NO"
"129","2007-08","25","0","0","","3.60","7","0","0","0","0","5.0","10","3","2","0","2","2","2.400","18.00","0.00","3.60","3.60","1.0000","0","NO"
"130","2007-08","36","0","0","","0.00","6","0","0","0","1","7.0","5","0","0","0","2","1","1.000","6.43","0.00","2.57","1.29","0.5000","0","NO"
"131","2007-08","27","0","0","","0.00","2","0","0","0","0","3.1","2","0","0","0","0","1","0.600","5.40","0.00","0.00","2.70","","0","NO"
"132","2007-08","23","0","0","","0.00","1","0","0","0","0","1.2","1","0","0","0","0","1","0.600","5.40","0.00","0.00","5.40","","0","NO"
"133","2007-08","32","0","1","0.0000","12.00","3","0","0","0","0","3.0","6","4","4","1","0","0","2.000","18.00","3.00","0.00","0.00","","0","NO"
"134","2007-08","22","0","0","","18.00","1","0","0","0","0","1.0","3","2","2","0","1","0","4.000","27.00","0.00","9.00","0.00","0.0000","0","NO"
"135","2007-08","21","0","0","","67.50","1","0","0","0","0","0.2","5","5","5","0","0","0","7.500","67.50","0.00","0.00","0.00","","0","NO"
"136","2007-08","24","0","1","0.0000","2.84","4","0","0","0","0","6.1","9","3","2","1","1","0","1.579","12.79","1.42","1.42","0.00","0.0000","0","NO"
"137","2007-08","26","0","0","","6.75","7","0","0","0","0","2.2","5","2","2","0","0","0","1.875","16.88","0.00","0.00","0.00","","0","NO"
"138","2008-09","34","3","0","1.0000","1.61","4","4","0","0","0","22.1","16","4","4","1","14","17","1.343","6.45","0.40","5.64","6.85","1.2143","0","NO"
"139","2008-09","30","1","2","0.3333","4.50","5","5","0","0","0","26.0","33","13","13","2","6","14","1.500","11.42","0.69","2.08","4.85","2.3333","0","NO"
"140","2008-09","26","2","1","0.6667","3.38","4","4","0","0","0","24.0","16","10","9","2","3","11","0.792","6.00","0.75","1.12","4.12","3.6667","0","NO"
"141","2008-09","26","0","0","","0.00","6","0","0","0","6","7.0","3","0","0","0","3","8","0.857","3.86","0.00","3.86","10.29","2.6667","0","NO"
