"N","Player id","Temporada","Fecha","Juego","Equipo","Posicion","Orden_bat","Jugador","AB","R","H","2B","3B","HR","RBI","BB","SO","LOB","AVE","Estadio","oponente","ronda",,
4052,"NA","2022-23","04/12/2022",1,"Tigres de Aragua","3B",7,"Leobaldo Piña ",4,1,0,0,0,0,0,0,1,2,0.311,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",714325,"night"
4053,"NA","2022-23","04/12/2022",1,"Tigres de Aragua","RF",8,"Micker Adolfo ",0,0,0,0,0,0,0,1,0,0,0.238,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",714325,"night"
4054,"NA","2022-23","04/12/2022",1,"Tigres de Aragua","CF",,"Carlos Arroyo ",3,2,2,1,0,1,2,0,1,1,0.333,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",714325,"night"
4055,"NA","2022-23","04/12/2022",1,"Tigres de Aragua","C",9,"Dennis Ortega ",4,0,0,0,0,0,0,0,1,3,0.235,"Estadio Alfonso Carrasquel","Caribes de Anzoategui","regular",714325,"night"
4056,"NA","2022-23","04/12/2022",1,"Caribes de Anzoategui","CF",1,"José Azocar ",3,2,1,1,0,0,0,1,0,0,0.209,"Estadio Alfonso Carrasquel","Tigres de Aragua","regular",714325,"night"
4057,"NA","2022-23","04/12/2022",1,"Caribes de Anzoategui","2B",2,"Andruw Monasterio ",4,2,2,0,0,1,3,0,1,0,0.306,"Estadio Alfonso Carrasquel","Tigres de Aragua","regular",714325,"night"
4058,"NA","2022-23","04/12/2022",1,"Caribes de Anzoategui","1B",3,"Balbino Fuenmayor ",4,0,1,0,0,0,1,0,2,0,0.234,"Estadio Alfonso Carrasquel","Tigres de Aragua","regular",714325,"night"
4059,"NA","2022-23","04/12/2022",1,"Caribes de Anzoategui","DH",4,"Tomás Telis ",3,0,1,1,0,0,0,1,0,1,0.217,"Estadio Alfonso Carrasquel","Tigres de Aragua","regular",714325,"night"
4060,"NA","2022-23","04/12/2022",1,"Caribes de Anzoategui","3B",5,"Diego Castillo ",4,0,0,0,0,0,0,0,1,2,0.342,"Estadio Alfonso Carrasquel","Tigres de Aragua","regular",714325,"night"
4061,"NA","2022-23","04/12/2022",1,"Caribes de Anzoategui","RF",6,"Luis Sardinas ",3,0,0,0,0,0,0,1,1,1,0.239,"Estadio Alfonso Carrasquel","Tigres de Aragua","regular",714325,"night"
4062,"NA","2022-23","04/12/2022",1,"Caribes de Anzoategui","C",7,"Jesús Sucre ",4,1,3,0,0,1,1,0,0,1,0.284,"Estadio Alfonso Carrasquel","Tigres de Aragua","regular",714325,"night"
4063,"NA","2022-23","04/12/2022",1,"Caribes de Anzoategui","LF",8,"Herlis Rodriguez ",4,0,1,0,0,0,0,0,1,1,0.228,"Estadio Alfonso Carrasquel","Tigres de Aragua","regular",714325,"night"
4064,"NA","2022-23","04/12/2022",1,"Caribes de Anzoategui","SS",9,"Kevin Vicuña ",3,0,0,0,0,0,0,0,0,1,0.269,"Estadio Alfonso Carrasquel","Tigres de Aragua","regular",714325,"night"
4065,"garmai002","2022-23","05/12/2022",1,"Tiburones de la Guaira","SS",1,"Maikel Garcia ",4,3,1,0,0,0,1,2,0,1,0.331,"Estadio Universitario","Leones del Caracas","regular",714317,"night"
4066,"sanyol001","2022-23","05/12/2022",1,"Tiburones de la Guaira","3B-2B",2,"Carlos Sanchez ",4,2,0,0,0,0,0,2,0,2,0.231,"Estadio Universitario","Leones del Caracas","regular",714317,"night"
4067,"marraf001","2022-23","05/12/2022",1,"Tiburones de la Guaira","C",3,"Rafael Marchan ",4,2,1,0,0,0,2,0,1,0,0.522,"Estadio Universitario","Leones del Caracas","regular",714317,"night"
4068,"genric001","2022-23","05/12/2022",1,"Tiburones de la Guaira","C",,"Ricardo Genovés ",1,1,1,0,0,1,3,0,0,0,0.255,"Estadio Universitario","Leones del Caracas","regular",714317,"night"
4069,"vasdan001","2022-23","05/12/2022",1,"Tiburones de la Guaira","RF",4,"Danry Vasquez ",5,3,2,2,0,0,0,1,1,3,0.304,"Estadio Universitario","Leones del Caracas","regular",714317,"night"
4070,"aguang001","2022-23","05/12/2022",1,"Tiburones de la Guaira","LF-3B",5,"Angel Aguilar ",5,0,1,0,0,0,2,1,2,5,0.382,"Estadio Universitario","Leones del Caracas","regular",714317,"night"
4071,"garwil002","2022-23","05/12/2022",1,"Tiburones de la Guaira","1B",6,"Wilson Garcia ",6,2,4,1,0,0,4,0,0,3,0.237,"Estadio Universitario","Leones del Caracas","regular",714317,"night"
4072,"escant001","2022-23","05/12/2022",1,"Tiburones de la Guaira","2B",7,"Alcides Escobar ",5,2,3,2,0,0,2,0,1,2,0.462,"Estadio Universitario","Leones del Caracas","regular",714317,"night"
4073,"escalc001","2022-23","05/12/2022",1,"Tiburones de la Guaira","2B",7,"Alcides Escobar ",5,2,3,2,0,0,2,0,1,2,0.462,"Estadio Universitario","Leones del Caracas","regular",714317,"night"
4074,"Jimant001","2022-23","05/12/2022",1,"Tiburones de la Guaira","LF",,"Anthony Jimenez ",1,0,0,0,0,0,0,0,0,1,0.182,"Estadio Universitario","Leones del Caracas","regular",714317,"night"
4075,"arcfran001","2022-23","05/12/2022",1,"Tiburones de la Guaira","DH",8,"Francisco Arcia ",3,2,1,0,0,0,0,3,0,3,0.269,"Estadio Universitario","Leones del Caracas","regular",714317,"night"
4076,"cableo001","2022-23","05/12/2022",1,"Tiburones de la Guaira","CF",9,"Leobaldo Cabrera ",5,1,2,1,0,0,3,0,1,6,0.255,"Estadio Universitario","Leones del Caracas","regular",714317,"night"
4077,"NA","2022-23","05/12/2022",1,"Leones del Caracas","3B",1,"Wilfredo Tovar ",5,1,2,0,0,0,0,0,2,3,0.295,"Estadio Universitario","Tiburones de La Guaira","regular",714317,"night"
4078,"NA","2022-23","05/12/2022",1,"Leones del Caracas","3B",,"Gabriel Noriega ",1,0,0,0,0,0,0,0,1,0,0.257,"Estadio Universitario","Tiburones de La Guaira","regular",714317,"night"
4079,"NA","2022-23","05/12/2022",1,"Leones del Caracas","CF",2,"Harold Castro ",5,1,2,0,0,0,0,0,1,4,0.333,"Estadio Universitario","Tiburones de La Guaira","regular",714317,"night"
4080,"NA","2022-23","05/12/2022",1,"Leones del Caracas","CF",,"Juan Infante ",1,0,0,0,0,0,0,0,1,0,0.2,"Estadio Universitario","Tiburones de La Guaira","regular",714317,"night"
4081,"NA","2022-23","05/12/2022",1,"Leones del Caracas","2B",3,"Gleyber Torres ",5,2,3,0,0,0,1,1,0,1,0.24,"Estadio Universitario","Tiburones de La Guaira","regular",714317,"night"
4082,"NA","2022-23","05/12/2022",1,"Leones del Caracas","C",4,"Freddy Fermin ",5,1,3,0,0,0,1,0,1,3,0.43,"Estadio Universitario","Tiburones de La Guaira","regular",714317,"night"
4083,"NA","2022-23","05/12/2022",1,"Leones del Caracas","LF",5,"José Rondón ",5,1,1,0,0,0,0,0,0,6,0.321,"Estadio Universitario","Tiburones de La Guaira","regular",714317,"night"
4084,"NA","2022-23","05/12/2022",1,"Leones del Caracas","DH",6,"Eugenio Suárez ",5,2,2,1,0,0,2,0,0,3,0.429,"Estadio Universitario","Tiburones de La Guaira","regular",714317,"night"
4085,"NA","2022-23","05/12/2022",1,"Leones del Caracas","1B",7,"Isaias Tejeda ",3,1,2,0,0,1,3,2,0,2,0.298,"Estadio Universitario","Tiburones de La Guaira","regular",714317,"night"
4086,"NA","2022-23","05/12/2022",1,"Leones del Caracas","RF",8,"Oswaldo Arcia ",4,0,2,1,0,0,2,0,1,1,0.277,"Estadio Universitario","Tiburones de La Guaira","regular",714317,"night"
4087,"NA","2022-23","05/12/2022",1,"Leones del Caracas","SS",9,"Lenyn Sosa ",4,0,0,0,0,0,0,1,2,3,0.288,"Estadio Universitario","Tiburones de La Guaira","regular",714317,"night"
4088,"NA","2022-23","06/12/2022",1,"Cardenales de Lara","2B",1,"Ildemaro Vargas ",4,0,0,0,0,0,0,0,0,2,0.364,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714213,"night"
4089,"NA","2022-23","06/12/2022",1,"Cardenales de Lara","LF",2,"Jecksson Flores ",3,0,0,0,0,0,0,0,0,0,0.25,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714213,"night"
4090,"NA","2022-23","06/12/2022",1,"Cardenales de Lara","SS",3,"Andrés Giménez ",3,1,2,1,0,0,0,1,0,0,0.231,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714213,"night"
4091,"NA","2022-23","06/12/2022",1,"Cardenales de Lara","1B",4,"Hernán Pérez ",2,1,1,0,0,0,0,2,0,2,0.29,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714213,"night"
4092,"NA","2022-23","06/12/2022",1,"Cardenales de Lara","DH",5,"Pedro Castellanos ",4,0,1,0,0,0,2,0,2,4,0.264,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714213,"night"
4093,"NA","2022-23","06/12/2022",1,"Cardenales de Lara","CF",6,"Odúbel Herrera ",1,0,0,0,0,0,0,0,0,1,0.288,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714213,"night"
4094,"NA","2022-23","06/12/2022",1,"Cardenales de Lara","CF",,"Manuel Melendez ",2,0,0,0,0,0,0,0,1,2,0,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714213,"night"
4095,"NA","2022-23","06/12/2022",1,"Cardenales de Lara","PH",,"a-Ali Sánchez ",1,0,0,0,0,0,0,0,1,2,0.197,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714213,"night"
4096,"NA","2022-23","06/12/2022",1,"Cardenales de Lara","3B",7,"Juniel Querecuto ",3,1,2,0,0,0,0,0,1,0,0.265,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714213,"night"
4097,"NA","2022-23","06/12/2022",1,"Cardenales de Lara","RF",8,"Javier Sanoja ",2,1,1,0,0,0,0,1,0,1,0.273,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714213,"night"
4098,"NA","2022-23","06/12/2022",1,"Cardenales de Lara","C",9,"Yojhan Quevedo ",3,1,1,0,0,1,3,0,0,2,0.195,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714213,"night"
4099,"NA","2022-23","06/12/2022",1,"Tigres de Aragua","SS",1,"Yonathan Mendoza ",3,1,1,1,0,0,1,0,1,1,0.359,"Estadio Jose Perez Colmenares","Cardenales de Lara","regular",714213,"night"
4100,"NA","2022-23","06/12/2022",1,"Tigres de Aragua","1B",2,"Henry Alejandro Rodriguez ",4,1,1,0,0,1,1,0,1,3,0.313,"Estadio Jose Perez Colmenares","Cardenales de Lara","regular",714213,"night"
4101,"NA","2022-23","06/12/2022",1,"Tigres de Aragua","2B",3,"Alexi Amarista ",3,0,1,0,0,0,0,0,0,1,0.315,"Estadio Jose Perez Colmenares","Cardenales de Lara","regular",714213,"night"
4102,"NA","2022-23","06/12/2022",1,"Tigres de Aragua","LF",4,"Denis Phipps ",2,1,0,0,0,0,0,1,0,1,0.258,"Estadio Jose Perez Colmenares","Cardenales de Lara","regular",714213,"night"
4103,"NA","2022-23","06/12/2022",1,"Tigres de Aragua","DH",5,"José Martínez ",3,0,2,1,0,0,0,0,0,1,0.35,"Estadio Jose Perez Colmenares","Cardenales de Lara","regular",714213,"night"
4104,"NA","2022-23","06/12/2022",1,"Tigres de Aragua","PR-DH",,"1-Leobaldo Piña ",0,1,0,0,0,0,0,0,0,0,0.311,"Estadio Jose Perez Colmenares","Cardenales de Lara","regular",714213,"night"
4105,"NA","2022-23","06/12/2022",1,"Tigres de Aragua","3B",6,"Carlos Rivero ",2,1,0,0,0,0,0,1,2,1,0.313,"Estadio Jose Perez Colmenares","Cardenales de Lara","regular",714213,"night"
4106,"NA","2022-23","06/12/2022",1,"Tigres de Aragua","C",7,"Dennis Ortega ",3,1,1,0,0,0,2,0,1,1,0.241,"Estadio Jose Perez Colmenares","Cardenales de Lara","regular",714213,"night"
4107,"NA","2022-23","06/12/2022",1,"Tigres de Aragua","RF",8,"Sergio Barthelemy ",2,0,0,0,0,0,0,0,1,1,0,"Estadio Jose Perez Colmenares","Cardenales de Lara","regular",714213,"night"
4108,"NA","2022-23","06/12/2022",1,"Tigres de Aragua","PH",,"a-Gersel Pitre ",1,0,1,0,0,0,1,0,0,0,0.463,"Estadio Jose Perez Colmenares","Cardenales de Lara","regular",714213,"night"
4109,"NA","2022-23","06/12/2022",1,"Tigres de Aragua","PR-RF",,"2-Carlos Arroyo ",0,0,0,0,0,0,0,0,0,0,0.333,"Estadio Jose Perez Colmenares","Cardenales de Lara","regular",714213,"night"
4110,"NA","2022-23","06/12/2022",1,"Tigres de Aragua","CF",9,"Carlos Tocci ",3,1,3,1,0,0,1,0,0,0,0.278,"Estadio Jose Perez Colmenares","Cardenales de Lara","regular",714213,"night"
4111,"NA","2022-23","06/12/2022",2,"Cardenales de Lara","2B",1,"Ildemaro Vargas ",3,1,1,0,0,1,2,1,0,0,0.363,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714224,"night"
4112,"NA","2022-23","06/12/2022",2,"Cardenales de Lara","LF",2,"Jecksson Flores ",4,0,1,1,0,0,0,0,0,1,0.25,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714224,"night"
4113,"NA","2022-23","06/12/2022",2,"Cardenales de Lara","SS",3,"Andrés Giménez ",4,0,1,0,0,0,0,0,0,2,0.235,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714224,"night"
4114,"NA","2022-23","06/12/2022",2,"Cardenales de Lara","1B",4,"Hernán Pérez ",3,1,1,1,0,0,0,0,0,2,0.291,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714224,"night"
4115,"NA","2022-23","06/12/2022",2,"Cardenales de Lara","DH",5,"Pedro Castellanos ",2,2,1,0,0,0,0,1,1,0,0.27,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714224,"night"
4116,"NA","2022-23","06/12/2022",2,"Cardenales de Lara","3B",6,"Juniel Querecuto ",2,0,1,0,0,0,1,0,0,0,0.27,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714224,"night"
4117,"NA","2022-23","06/12/2022",2,"Cardenales de Lara","CF",7,"Javier Sanoja ",3,0,0,0,0,0,0,0,0,3,0.255,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714224,"night"
4118,"NA","2022-23","06/12/2022",2,"Cardenales de Lara","C",8,"Ali Sánchez ",1,0,1,0,0,0,1,0,0,0,0.208,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714224,"night"
4119,"NA","2022-23","06/12/2022",2,"Cardenales de Lara","C",,"Yojhan Quevedo ",2,2,1,0,0,1,2,0,0,0,0.209,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714224,"night"
4120,"NA","2022-23","06/12/2022",2,"Cardenales de Lara","RF",9,"Manuel Melendez ",3,0,0,0,0,0,0,0,0,2,0,"Estadio Jose Perez Colmenares","Tigres de Aragua","regular",714224,"night"
4121,"NA","2022-23","06/12/2022",2,"Tigres de Aragua","CF",1,"Carlos Tocci ",3,0,0,0,0,0,0,0,0,2,0.271,"Estadio Jose Perez Colmenares","Cardenales de Lara","regular",714224,"night"
4122,"NA","2022-23","06/12/2022",2,"Tigres de Aragua","PH",,"a-Carlos Arroyo ",1,0,0,0,0,0,0,0,1,0,0.286,"Estadio Jose Perez Colmenares","Cardenales de Lara","regular",714224,"night"
4123,"NA","2022-23","06/12/2022",2,"Tigres de Aragua","DH",2,"Henry Alejandro Rodriguez ",4,0,0,0,0,0,0,0,2,0,0.303,"Estadio Jose Perez Colmenares","Cardenales de Lara","regular",714224,"night"
4124,"NA","2022-23","06/12/2022",2,"Tigres de Aragua","2B",3,"Alexi Amarista ",2,0,1,1,0,0,0,1,0,0,0.317,"Estadio Jose Perez Colmenares","Cardenales de Lara","regular",714224,"night"
4125,"NA","2022-23","06/12/2022",2,"Tigres de Aragua","LF",4,"Denis Phipps ",2,0,1,0,0,0,0,1,1,1,0.266,"Estadio Jose Perez Colmenares","Cardenales de Lara","regular",714224,"night"
4126,"NA","2022-23","06/12/2022",2,"Tigres de Aragua","C",5,"Gersel Pitre ",3,0,0,0,0,0,0,0,0,3,0.439,"Estadio Jose Perez Colmenares","Cardenales de Lara","regular",714224,"night"
4127,"NA","2022-23","06/12/2022",2,"Tigres de Aragua","1B",6,"Alberto Callaspo ",3,0,1,0,0,0,0,0,0,0,0.29,"Estadio Jose Perez Colmenares","Cardenales de Lara","regular",714224,"night"
4128,"NA","2022-23","06/12/2022",2,"Tigres de Aragua","3B",7,"Leobaldo Piña ",2,0,0,0,0,0,0,1,2,1,0.298,"Estadio Jose Perez Colmenares","Cardenales de Lara","regular",714224,"night"
4129,"NA","2022-23","06/12/2022",2,"Tigres de Aragua","RF",8,"Sergio Barthelemy ",2,0,0,0,0,0,0,1,1,2,0,"Estadio Jose Perez Colmenares","Cardenales de Lara","regular",714224,"night"
4130,"NA","2022-23","06/12/2022",2,"Tigres de Aragua","SS",9,"Humberto Arteaga ",2,0,0,0,0,0,0,1,1,1,0.17,"Estadio Jose Perez Colmenares","Cardenales de Lara","regular",714224,"night"
4131,"NA","2022-23","06/12/2022",1,"Caribes de Anzoategui","CF",1,"José Azocar ",5,1,2,0,0,0,0,0,2,1,0.229,"Estadio Universitario","Leones del Caracas","regular",714296,"night"
4132,"NA","2022-23","06/12/2022",1,"Caribes de Anzoategui","3B",2,"Niuman Romero ",3,1,1,0,0,0,0,2,0,1,0.279,"Estadio Universitario","Leones del Caracas","regular",714296,"night"
4133,"NA","2022-23","06/12/2022",1,"Caribes de Anzoategui","2B",3,"Andruw Monasterio ",5,1,1,0,1,0,1,0,0,5,0.302,"Estadio Universitario","Leones del Caracas","regular",714296,"night"
4134,"NA","2022-23","06/12/2022",1,"Caribes de Anzoategui","1B",4,"Balbino Fuenmayor ",3,1,1,0,0,0,1,1,0,0,0.236,"Estadio Universitario","Leones del Caracas","regular",714296,"night"
4135,"NA","2022-23","06/12/2022",1,"Caribes de Anzoategui","DH",5,"Tomás Telis ",3,0,1,0,0,0,1,1,0,1,0.224,"Estadio Universitario","Leones del Caracas","regular",714296,"night"
4136,"NA","2022-23","06/12/2022",1,"Caribes de Anzoategui","RF",6,"Luis Sardinas ",4,0,0,0,0,0,0,0,0,4,0.231,"Estadio Universitario","Leones del Caracas","regular",714296,"night"
4137,"NA","2022-23","06/12/2022",1,"Caribes de Anzoategui","C",7,"Jesús Sucre ",4,0,1,0,0,0,0,0,0,3,0.283,"Estadio Universitario","Leones del Caracas","regular",714296,"night"
4138,"NA","2022-23","06/12/2022",1,"Caribes de Anzoategui","LF",8,"Herlis Rodriguez ",4,1,2,1,0,1,2,0,1,1,0.236,"Estadio Universitario","Leones del Caracas","regular",714296,"night"
4139,"NA","2022-23","06/12/2022",1,"Caribes de Anzoategui","SS",9,"Kevin Vicuña ",4,0,2,0,0,0,0,0,0,3,0.286,"Estadio Universitario","Leones del Caracas","regular",714296,"night"
4140,"NA","2022-23","06/12/2022",1,"Leones del Caracas","3B-2B",1,"Wilfredo Tovar ",4,1,1,0,0,0,0,1,1,2,0.294,"Estadio Universitario","Caribes de Anzoategui","regular",714296,"night"
4141,"NA","2022-23","06/12/2022",1,"Leones del Caracas","CF",2,"Harold Castro ",5,0,0,0,0,0,0,0,1,4,0.304,"Estadio Universitario","Caribes de Anzoategui","regular",714296,"night"
4142,"NA","2022-23","06/12/2022",1,"Leones del Caracas","2B",3,"Gleyber Torres ",4,2,2,0,0,0,1,0,2,0,0.276,"Estadio Universitario","Caribes de Anzoategui","regular",714296,"night"
4143,"NA","2022-23","06/12/2022",1,"Leones del Caracas","3B",,"Gabriel Noriega ",0,0,0,0,0,0,0,0,0,0,0.257,"Estadio Universitario","Caribes de Anzoategui","regular",714296,"night"
4144,"NA","2022-23","06/12/2022",1,"Leones del Caracas","LF",4,"José Rondón ",3,1,1,0,0,1,3,1,1,0,0.321,"Estadio Universitario","Caribes de Anzoategui","regular",714296,"night"
4145,"NA","2022-23","06/12/2022",1,"Leones del Caracas","DH",5,"Eugenio Suárez ",4,0,2,1,0,0,1,0,2,0,0.444,"Estadio Universitario","Caribes de Anzoategui","regular",714296,"night"
4146,"NA","2022-23","06/12/2022",1,"Leones del Caracas","RF",6,"Oswaldo Arcia ",2,1,1,0,0,0,0,1,1,2,0.284,"Estadio Universitario","Caribes de Anzoategui","regular",714296,"night"
4147,"NA","2022-23","06/12/2022",1,"Leones del Caracas","1B",,"Isaias Tejeda ",0,0,0,0,0,0,0,1,0,0,0.298,"Estadio Universitario","Caribes de Anzoategui","regular",714296,"night"
4148,"NA","2022-23","06/12/2022",1,"Leones del Caracas","1B-RF",7,"Alexander Palma ",4,0,1,0,0,0,0,0,1,5,0.264,"Estadio Universitario","Caribes de Anzoategui","regular",714296,"night"
4149,"NA","2022-23","06/12/2022",1,"Leones del Caracas","C",8,"Jhonny Pereda ",3,0,1,0,0,0,1,1,1,0,0.329,"Estadio Universitario","Caribes de Anzoategui","regular",714296,"night"
4150,"NA","2022-23","06/12/2022",1,"Leones del Caracas","SS",9,"Lenyn Sosa ",4,1,1,0,0,0,0,0,2,3,0.287,"Estadio Universitario","Caribes de Anzoategui","regular",714296,"night"
4151,"NA","2022-23","06/12/2022",1,"Navegantes del Magallanes","SS",1,"Edwin Garcia ",4,0,0,0,0,0,0,0,0,2,0.325,"Estadio Luis Aparicio","Aguilas del Zulia","regular",714411,"night"
4152,"NA","2022-23","06/12/2022",1,"Navegantes del Magallanes","CF",2,"Rainel Rosario ",4,0,0,0,0,0,0,0,2,0,0.338,"Estadio Luis Aparicio","Aguilas del Zulia","regular",714411,"night"
4153,"NA","2022-23","06/12/2022",1,"Navegantes del Magallanes","1B",3,"Luis Torrens ",4,0,0,0,0,0,0,0,0,0,0.333,"Estadio Luis Aparicio","Aguilas del Zulia","regular",714411,"night"
4154,"NA","2022-23","06/12/2022",1,"Navegantes del Magallanes","RF",4,"Moisés Gómez ",4,0,0,0,0,0,0,0,1,0,0.308,"Estadio Luis Aparicio","Aguilas del Zulia","regular",714411,"night"
4155,"NA","2022-23","06/12/2022",1,"Navegantes del Magallanes","LF",5,"Alberth Martinez ",3,0,1,0,0,0,0,0,0,0,0.362,"Estadio Luis Aparicio","Aguilas del Zulia","regular",714411,"night"
4156,"NA","2022-23","06/12/2022",1,"Navegantes del Magallanes","DH",6,"Daniel Mayora ",2,0,1,0,0,0,0,1,0,0,0.266,"Estadio Luis Aparicio","Aguilas del Zulia","regular",714411,"night"
4157,"NA","2022-23","06/12/2022",1,"Navegantes del Magallanes","3B",7,"Alberto Gonzalez ",3,0,1,0,0,0,0,0,0,2,0.315,"Estadio Luis Aparicio","Aguilas del Zulia","regular",714411,"night"
4158,"NA","2022-23","06/12/2022",1,"Navegantes del Magallanes","C",8,"Robinson Chirinos ",3,0,0,0,0,0,0,0,0,4,0.222,"Estadio Luis Aparicio","Aguilas del Zulia","regular",714411,"night"
4159,"NA","2022-23","06/12/2022",1,"Navegantes del Magallanes","2B",9,"Rayder Ascanio ",3,0,0,0,0,0,0,0,1,2,0.256,"Estadio Luis Aparicio","Aguilas del Zulia","regular",714411,"night"
4160,"NA","2022-23","06/12/2022",1,"Aguilas del Zulia","SS",1,"Ali Castillo ",5,1,3,0,0,0,2,0,0,1,0.302,"Estadio Luis Aparicio","Navegantes del Magallanes","regular",714411,"night"
4161,"NA","2022-23","06/12/2022",1,"Aguilas del Zulia","RF",2,"Alex Romero ",4,2,2,0,0,0,3,0,0,1,0.313,"Estadio Luis Aparicio","Navegantes del Magallanes","regular",714411,"night"
4162,"NA","2022-23","06/12/2022",1,"Aguilas del Zulia","LF",3,"Angel Reyes ",4,1,1,0,0,0,1,1,2,2,0.262,"Estadio Luis Aparicio","Navegantes del Magallanes","regular",714411,"night"
4163,"NA","2022-23","06/12/2022",1,"Aguilas del Zulia","1B",4,"Héctor Sánchez ",4,0,0,0,0,0,0,0,1,4,0.248,"Estadio Luis Aparicio","Navegantes del Magallanes","regular",714411,"night"
4164,"NA","2022-23","06/12/2022",1,"Aguilas del Zulia","DH",5,"Jesus Chirinos ",3,0,0,0,0,0,0,1,1,1,0.333,"Estadio Luis Aparicio","Navegantes del Magallanes","regular",714411,"night"
4165,"NA","2022-23","06/12/2022",1,"Aguilas del Zulia","C",6,"José Godoy ",4,0,2,1,0,0,2,0,0,0,0.333,"Estadio Luis Aparicio","Navegantes del Magallanes","regular",714411,"night"
4166,"NA","2022-23","06/12/2022",1,"Aguilas del Zulia","CF",7,"Niko Hulsizer ",4,2,2,0,0,1,1,0,0,3,0.263,"Estadio Luis Aparicio","Navegantes del Magallanes","regular",714411,"night"
4167,"NA","2022-23","06/12/2022",1,"Aguilas del Zulia","2B",8,"Carlos Herrera ",4,2,2,0,0,0,0,0,1,1,0.4,"Estadio Luis Aparicio","Navegantes del Magallanes","regular",714411,"night"
4168,"NA","2022-23","06/12/2022",1,"Aguilas del Zulia","3B",9,"Bryant Flete ",3,1,1,0,1,0,0,0,1,1,0.33,"Estadio Luis Aparicio","Navegantes del Magallanes","regular",714411,"night"
4169,"sanyol001","2022-23","06/12/2022",1,"Tiburones de la Guaira","2B",1,"Carlos Sanchez ",2,1,0,0,0,0,0,1,1,0,0.226,"Estadio Forum de La Guaira","Bravos de Margarita","regular",714384,"night"
4170,"torredu001","2022-23","06/12/2022",1,"Tiburones de la Guaira","PH-2B",,"Eduardo Torrealba ",2,0,0,0,0,0,0,0,0,5,0,"Estadio Forum de La Guaira","Bravos de Margarita","regular",714384,"night"
4171,"escant001","2022-23","06/12/2022",1,"Tiburones de la Guaira","SS",2,"Alcides Escobar ",5,0,2,0,0,0,0,0,0,3,0.444,"Estadio Forum de La Guaira","Bravos de Margarita","regular",714384,"night"
4172,"escalc001","2022-23","06/12/2022",1,"Tiburones de la Guaira","SS",2,"Alcides Escobar ",5,0,2,0,0,0,0,0,0,3,0.444,"Estadio Forum de La Guaira","Bravos de Margarita","regular",714384,"night"
4173,"marraf001","2022-23","06/12/2022",1,"Tiburones de la Guaira","DH",3,"Rafael Marchan ",4,3,2,0,0,0,0,1,0,2,0.519,"Estadio Forum de La Guaira","Bravos de Margarita","regular",714384,"night"
4174,"vasdan001","2022-23","06/12/2022",1,"Tiburones de la Guaira","RF",4,"Danry Vasquez ",4,0,0,0,0,0,0,0,2,5,0.292,"Estadio Forum de La Guaira","Bravos de Margarita","regular",714384,"night"
4175,"aguang001","2022-23","06/12/2022",1,"Tiburones de la Guaira","3B",5,"Angel Aguilar ",4,1,1,0,0,0,1,1,0,3,0.375,"Estadio Forum de La Guaira","Bravos de Margarita","regular",714384,"night"
4176,"garwil002","2022-23","06/12/2022",1,"Tiburones de la Guaira","1B",6,"Wilson Garcia ",4,0,1,0,0,0,1,0,1,1,0.238,"Estadio Forum de La Guaira","Bravos de Margarita","regular",714384,"night"
4177,"genric001","2022-23","06/12/2022",1,"Tiburones de la Guaira","PH",,"Ricardo Genovés ",1,0,1,0,0,0,1,0,0,0,0.268,"Estadio Forum de La Guaira","Bravos de Margarita","regular",714384,"night"
4178,"cableo001","2022-23","06/12/2022",1,"Tiburones de la Guaira","CF",7,"Leobaldo Cabrera ",4,0,1,0,0,0,0,1,1,4,0.254,"Estadio Forum de La Guaira","Bravos de Margarita","regular",714384,"night"
4179,"arcfran001","2022-23","06/12/2022",1,"Tiburones de la Guaira","C",8,"Francisco Arcia ",2,0,1,0,0,0,0,2,0,0,0.278,"Estadio Forum de La Guaira","Bravos de Margarita","regular",714384,"night"
