"N","Player id","Temporada","Fecha","Juego","Equipo","Posicion","Orden_bat","Jugador","AB","R","H","2B","3B","HR","RBI","BB","SO","LOB","AVE","Estadio","oponente","ronda",,
69,"menhei001","2021-22","28/10/2021",4,"Tiburones de la Guaira","2B",7,"Heiker Meneses ",4,0,0,0,0,0,0,0,3,2,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",,
70,"ferjua001","2021-22","28/10/2021",4,"Tiburones de la Guaira","C",8,"Juan Fernandez ",3,1,1,1,0,0,0,1,1,2,0.556,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",,
71,"lujjes001","2021-22","28/10/2021",4,"Tiburones de la Guaira","RF",9,"Jesus Lujano ",2,0,1,0,0,0,0,0,0,1,0.5,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",,
72,"marteo001","2021-22","28/10/2021",4,"Tiburones de la Guaira","PH-LF",9,"Teodoro Martinez ",2,0,1,0,0,0,0,0,0,1,0.333,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular",,
73,,"2021-22","28/10/2021",4,"Navegantes del Magallanes","CF",1,"Cade Gotta ",3,1,1,0,0,0,0,1,2,0,0.222,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
74,,"2021-22","28/10/2021",4,"Navegantes del Magallanes","3B",2,"Alberto Gonzalez ",4,0,1,0,0,0,0,0,0,1,0.333,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
75,,"2021-22","28/10/2021",4,"Navegantes del Magallanes","1B",3,"Leonardo Reginatto ",4,0,0,0,0,0,0,0,3,2,0.333,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
76,,"2021-22","28/10/2021",4,"Navegantes del Magallanes","RF",4,"Alejandro De Aza ",4,1,1,1,0,0,1,0,1,1,0.294,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
77,,"2021-22","28/10/2021",4,"Navegantes del Magallanes","LF",5,"Moisés Gómez ",4,1,1,0,0,0,0,0,1,2,0.333,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
78,"NA","2021-22","28/10/2021",4,"Navegantes del Magallanes","DH",6,"Alberth Martinez ",3,1,2,0,0,0,1,0,0,0,0.25,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
79,,"2021-22","28/10/2021",4,"Navegantes del Magallanes","2B",7,"Gabriel Noriega ",3,0,2,1,0,0,0,0,1,2,0.6,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
80,,"2021-22","28/10/2021",4,"Navegantes del Magallanes","C",8,"Arturo Nieto ",3,0,3,0,0,0,2,0,0,0,0.571,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
81,,"2021-22","28/10/2021",4,"Navegantes del Magallanes","SS",9,"Engelb Vielma ",3,0,0,0,0,0,0,0,0,3,0.214,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular",,
