"","years","jugador","edad","g","ab","X5","r","h","2b","3b","hr","rbi","sb","cs","bb","so","avg","obp","slg","ops","rc","tb","xb","hbp","sh","sf","refuerzo"
"586","2003-04","N. Álvarez","26","6","","18","0","5","0","0","0","0","0","","","",".278","",".278",".000","","5","0","","","","NO"
"587","1982-83","N. Carrasco","20","6","","18","2","2","1","0","0","1","0","","","",".111","",".167",".000","","3","1","","","","NO"
"588","1983-84","N. Carrasco","21","5","","16","0","1","0","0","0","0","0","","","",".063","",".063",".000","","1","0","","","","NO"
"589","1984-85","N. Carrasco","22","6","","24","2","3","1","0","0","1","1","","","",".125","",".167",".000","","4","1","","","","NO"
"590","1985-86","N. Carrasco","23","6","","20","0","5","0","0","0","2","0","","","",".250","",".250",".000","","5","0","","","","NO"
"591","1986-87","N. Carrasco","24","5","","16","1","5","3","0","0","0","0","","","",".313","",".500",".000","","8","3","","","","NO"
"592","1988-89","N. Carrasco","26","12","","47","5","13","3","0","1","4","0","","","",".277","",".404",".000","","19","4","","","","NO"
"593","1989-90","N. Carrasco","27","12","","49","3","13","1","0","1","5","1","","","",".265","",".347",".000","","17","2","","","","NO"
"594","1991-92","N. Carrasco","29","11","","37","3","7","1","0","0","4","1","","","",".189","",".216",".000","","8","1","","","","NO"
"595","2007-08","N. Rodríguez","36","6","","","","","","","","","","","","","","","","","","","","","","","NO"
"596","1986-87","N. Snell","34","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"597","2007-08","O. Álvarez","27","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"598","2008-09","O. Álvarez","28","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"599","2000-01","O. Azocar","35","16","","60","9","16","3","0","3","11","0","","","",".267","",".467",".000","","28","6","","","","NO"
"600","2015-16","O. Bencomo","26","1","","","","","","","","","","","","","","","","","","","","","","","SI"
"601","1970-71","O. Blanco","25","3","","2","1","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"602","1971-72","O. Blanco","26","7","","22","1","4","0","0","0","5","0","","","",".182","",".182",".000","","4","0","","","","NO"
"603","1972-73","O. Blanco","27","6","","17","1","2","0","0","0","0","0","","","",".118","",".118",".000","","2","0","","","","NO"
"604","1974-75","O. Blanco","29","5","","17","2","5","1","0","0","2","0","","","",".294","",".353",".000","","6","1","","","","NO"
"605","1976-77","O. Blanco","31","4","","13","6","3","1","0","1","5","0","","","",".231","",".538",".000","","7","2","","","","NO"
"606","1977-78","O. Blanco","32","6","","22","4","7","1","0","0","2","3","","","",".318","",".364",".000","","8","1","","","","NO"
"607","1979-80","O. Blanco","34","5","","14","1","1","0","0","0","1","0","","","",".071","",".071",".000","","1","0","","","","NO"
"608","1980-81","O. Blanco","35","1","","1","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"609","1981-82","O. Guillén","17","1","","1","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"610","1982-83","O. Guillén","18","1","","1","0","1","0","0","0","2","0","","","","1.000","","1.000",".000","","1","0","","","","NO"
"611","1983-84","O. Guillén","19","4","","8","0","1","0","0","0","1","0","","","",".125","",".125",".000","","1","0","","","","NO"
"612","1984-85","O. Guillén","20","6","","24","1","7","0","0","0","2","1","","","",".292","",".292",".000","","7","0","","","","NO"
"613","1985-86","O. Guillén","21","6","","24","4","8","1","2","0","1","0","","","",".333","",".542",".000","","13","3","","","","NO"
"614","1986-87","O. Guillén","22","5","","20","3","6","1","0","0","1","0","","","",".300","",".350",".000","","7","1","","","","NO"
"615","1988-89","O. Guillén","24","12","","40","7","10","2","2","0","3","3","","","",".250","",".400",".000","","16","4","","","","NO"
"616","2016-17","O. Guillén","24","1","2","2","0","0","0","0","0","0","0","0","0","1",".000",".000",".000",".000","0.0","0","0","0","0","0","NO"
"617","2014-15","O. Herrera","23","9","39","35","2","3","0","0","0","2","1","0","3","10",".086",".179",".086",".265","0.5","3","0","1","0","0","NO"
"618","2015-16","O. Herrera","24","8","39","31","10","10","0","0","2","7","0","1","8","3",".323",".462",".516",".978","7.4","16","2","0","0","0","NO"
"619","1979-80","O. Jones","26","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"620","1980-81","O. Jones","27","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"621","1981-82","O. Jones","28","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"622","1982-83","O. Jones","29","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"623","1985-86","O. Jones","32","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"624","1986-87","O. Jones","33","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"625","2014-15","O. Melendez","28","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"626","1985-86","O. Moreno","33","6","","25","3","7","0","2","0","1","2","","","",".280","",".440",".000","","11","2","","","","NO"
"627","1977-78","O. Osborn","31","1","","","","","","","","","","","","","","","","","","","","","","","NO"
