"","years","jugador","edad","g","ab","X5","r","h","2b","3b","hr","rbi","sb","cs","bb","so","avg","obp","slg","ops","rc","tb","xb","hbp","sh","sf","refuerzo"
"245","1988-89","E. Marquez","23","3","","8","0","2","0","0","0","0","0","","","",".250","",".250",".000","","2","0","","","","NO"
"246","1989-90","E. Marquez","24","4","","11","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"247","1991-92","E. Marquez","26","7","","24","2","7","2","0","0","3","1","","","",".292","",".375",".000","","9","2","","","","NO"
"248","1984-85","E. Miller","27","6","","15","5","3","0","0","0","1","2","","","",".200","",".200",".000","","3","0","","","","NO"
"249","2000-01","E. Pérez","28","6","","","","","","","","","","","","","","","","","","","","","","","NO"
"250","2015-16","E. Quirarte","29","3","","","","","","","","","","","","","","","","","","","","","","","SI"
"251","2008-09","E. Ramos","35","8","","","","","","","","","","","","","","","","","","","","","","","NO"
"252","2009-10","E. Ramos","36","7","","","","","","","","","","","","","","","","","","","","","","","NO"
"253","2015-16","E. Ramos","23","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"254","2009-10","E. Serrano","31","10","","","","","","","","","","","","","","","","","","","","","","","NO"
"255","1970-71","E. Spiezio","29","1","","3","1","2","0","0","0","0","0","","","",".667","",".667",".000","","2","0","","","","NO"
"256","2013-14","E. Vázquez","30","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"257","2000-01","E. Zambrano","34","12","","37","7","12","0","0","3","4","1","","","",".324","",".568",".000","","21","3","","","","NO"
"258","1988-89","F. Campos","20","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"259","1989-90","F. Campos","21","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"260","1991-92","F. Campos","23","5","","","","","","","","","","","","","","","","","","","","","","","NO"
"261","2008-09","F. Felix","25","6","","","","","","","","","","","","","","","","","","","","","","","NO"
"262","2011-12","F. Hernández","27","5","","","","","","","","","","","","","","","","","","","","","","","NO"
"263","2014-15","F. Hernández","30","3","","","","","","","","","","","","","","","","","","","","","","","NO"
"264","1991-92","F. Lira","19","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"265","2000-01","F. Lira","28","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"266","2003-04","F. Lira","31","4","","","","","","","","","","","","","","","","","","","","","","","NO"
"267","2007-08","F. Quijada","23","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"268","1969-70","F. Rico","25","1","","1","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"269","2003-04","F. Rodríguez","21","9","","","","","","","","","","","","","","","","","","","","","","","NO"
"270","2007-08","F. Rodríguez","25","7","","","","","","","","","","","","","","","","","","","","","","","NO"
"271","2008-09","F. Rodríguez","26","6","","","","","","","","","","","","","","","","","","","","","","","NO"
"272","2009-10","F. Rodríguez","27","7","","","","","","","","","","","","","","","","","","","","","","","NO"
"273","2011-12","F. Rodríguez","29","8","","","","","","","","","","","","","","","","","","","","","","","NO"
"274","2013-14","F. Rodríguez","31","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"275","1991-92","F. Toliver","30","6","","","","","","","","","","","","","","","","","","","","","","","NO"
"276","1991-92","F. Torres","20","2","","3","0","1","0","0","0","0","0","","","",".333","",".333",".000","","1","0","","","","NO"
"277","1982-83","G. Biercevicz","27","1","","","","","","","","","","","","","","","","","","","","","","","NO"
"278","2003-04","G. Blanco","20","12","","18","2","4","0","0","1","1","0","","","",".222","",".389",".000","","7","1","","","","NO"
"279","2007-08","G. Blanco","24","13","60","51","6","12","4","0","0","1","1","1","9","9",".235",".350",".314",".664","5.6","16","4","0","0","0","NO"
"280","2008-09","G. Blanco","25","14","60","48","9","15","1","1","0","3","1","0","11","11",".313",".441",".375",".816","7.9","18","2","0","1","0","NO"
"281","2009-10","G. Blanco","26","14","64","50","10","16","0","2","0","8","1","1","11","8",".320",".443",".400",".843","8.9","20","2","0","3","0","NO"
"282","2011-12","G. Blanco","28","17","85","68","21","25","1","1","6","15","3","1","15","14",".368",".482",".676","1.159","22.2","46","8","1","0","1","NO"
"283","1966-67","G. Brabender","25","2","","5","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
"284","2000-01","G. Casadiego","18","5","","","","","","","","","","","","","","","","","","","","","","","NO"
"285","2003-04","G. Casadiego","21","6","","","","","","","","","","","","","","","","","","","","","","","NO"
"286","2007-08","G. Casadiego","25","7","","","","","","","","","","","","","","","","","","","","","","","NO"
"287","2008-09","G. Casadiego","26","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"288","2013-14","G. Chacin","33","6","","","","","","","","","","","","","","","","","","","","","","","NO"
"289","1979-80","G. Christenson","26","2","","","","","","","","","","","","","","","","","","","","","","","NO"
"290","1977-78","G. Clines","31","4","","13","2","3","1","0","0","1","0","","","",".231","",".308",".000","","4","1","","","","NO"
"291","1976-77","G. Enright","22","3","","4","1","1","0","0","0","1","0","","","",".250","",".250",".000","","1","0","","","","NO"
"292","1980-81","G. Ferrer","22","1","","1","0","0","0","0","0","0","0","","","",".000","",".000",".000","","0","0","","","","NO"
