player_id,years,jugador,edad,w,l,w-l%,era,g,gs,cg,sho,sv,ip,h,r,er,hr,bb,so,ir,whip,h/9,hr/9,bb/9,so/9,so/bb,bk,refuerzo ,ronda,resultado
gonjua001,2014-15,J. González,24,1,1,500,5.21,20,0,0,0,0,19,23,14,11,0,11,12,79,1789,10.89,0,5.21,5.68,1090,1,NO,regular,
gonjua001,2013-14,J. González,23,1,0,1000,5.17,11,0,0,0,0,15.2,18,11,9,2,5,4,90,1468,10.34,1.15,2.87,2.3,800,0,NO,regular,
gonjua001,2014-15,J. González,24,0,0,,0,1,0,0,0,0,1.1,2,0,0,0,0,0,,1.5,13.5,0,0,0,,0,NO,round robin,
gonjua001,2013-14,J. González,23,0,0,,6.75,8,0,0,0,0,6.2,8,6,5,1,8,5,,2.4,10.8,1.35,10.8,6.75,625,0,NO,round robin,
gorjav001,2019-20,J. Gorrin,28,0,0,,7.71,3,0,0,0,0,2.1,3,2,2,0,3,0,60,2571,11.57,0,11.57,0,0,,NO,regular,
grujua001,2015-16,J. Grullon,25,0,0,,9,2,0,0,0,0,1,3,1,1,0,2,1,43,5,27,0,18,9,500,0,NO,regular,
grujua001,2015-16,J. Grullon,25,0,1,0,5.4,5,0,0,0,0,1.2,2,1,1,1,1,1,,1.8,10.8,5.4,5.4,5.4,1,0,NO,round robin,
guejun001,2011-12,J. Guerra,26,0,0,,0,1,0,0,0,0,1,1,0,0,0,1,1,,2,9,0,9,9,1,0,NO,finales,Subcampeon
guejun001,2018-19,J. Guerra,33,0,1,0,9,4,0,0,0,0,5,10,5,5,1,2,3,43,2.4,18,1.8,3.6,5.4,1.5,0,NO,regular,
guejun001,2017-18,J. Guerra,32,3,2,600,2.98,9,8,0,0,0,48.1,40,19,16,1,17,30,145,1179,7.45,0.19,3.17,5.59,1.76,0,NO,regular,
guejun001,2015-16,J. Guerra,30,4,2,667,2.86,12,10,0,0,0,56.2,53,18,18,3,17,49,136,1235,8.42,0.48,2.7,7.78,2880,0,NO,regular,
guejun001,2014-15,J. Guerra,29,6,4,600,3.46,15,15,0,0,0,78,65,32,30,4,21,82,119,1103,7.5,0.46,2.42,9.46,3900,0,NO,regular,
guejun001,2013-14,J. Guerra,28,1,2,333,5.12,10,2,0,0,0,19.1,16,11,11,1,6,15,91,1138,7.45,0.47,2.79,6.98,2500,1,NO,regular,
guejun001,2012-13,J. Guerra,27,0,1,0,5.54,15,4,0,0,0,26,39,19,16,2,12,21,78,1962,13.5,0.69,4.15,7.27,1750,1,NO,regular,
guejun001,2011-12,J. Guerra,26,0,0,,6.23,14,1,0,0,0,26,33,21,18,1,15,21,61,1778,11,0.33,5,7.33,1470,0,NO,regular,
guejun001,2010-11,J. Guerra,25,1,1,500,5.73,7,1,0,0,0,11,17,8,7,1,5,6,69,2000,13.91,0.82,4.09,4.91,1200,1,NO,regular,
guejun001,2009-10,J. Guerra,24,1,2,333,3.46,17,0,0,0,0,26,28,20,10,2,19,25,140,1808,9.69,0.69,6.58,8.65,1320,0,NO,regular,
guejun001,2008-09,J. Guerra,23,0,0,,15.75,4,0,0,0,0,4,7,8,7,1,4,2,30,2750,15.75,2.25,9,4.5,500,0,NO,regular,
