years,jugador,edad,g,pa,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,avg,obp,slg,ops,ir,rc,tb,xb,hbp,sh,sf,refuerzo,ronda,resultado
2011-12,R. Olmedo,30,40,80,70,10,19,1,0,0,6,3,1,7,9,0.27,346,286,632,81,6.9,20,1,1,2,0,NO,regular,Eliminado
2011-12,E. Bellorin,29,39,128,105,12,19,3,0,4,12,0,1,14,22,0.18,273,324,597,70,9.3,34,7,0,7,2,NO,regular,Eliminado
2011-12,E. Adrianza,22,28,89,77,12,18,3,1,1,7,0,0,6,12,0.23,282,338,0.62,76,7.3,26,5,0,4,2,NO,regular,Eliminado
2011-12,T. Tiffee,32,16,73,67,7,18,3,0,1,9,0,0,3,9,0.27,315,358,673,91,7.6,24,4,2,0,1,NO,regular,Eliminado
2011-12,A. Cabrera,40,11,44,39,8,18,1,0,4,14,0,0,3,11,0.46,0.5,795,1295,265,15.5,31,5,1,0,1,NO,regular,Eliminado
2011-12,R. Álvarez,34,32,58,46,5,16,9,0,0,13,1,0,10,13,0.35,483,543,1026,192,12.1,25,9,2,0,0,NO,regular,Eliminado
2011-12,J. Baisley,29,17,68,65,7,15,3,0,1,9,0,0,0,14,0.23,0.25,323,573,62,5.2,21,4,2,0,1,NO,regular,Eliminado
2011-12,D. Paisano,24,43,69,64,12,14,2,1,0,2,1,0,0,11,0.22,254,281,535,52,4.6,18,3,3,2,0,NO,regular,Eliminado
2011-12,S. Van Slyke,25,21,83,67,10,13,5,0,1,9,0,0,12,24,0.19,329,313,643,83,6.9,21,6,2,1,1,NO,regular,Eliminado
2011-12,R. Osuna,26,21,33,30,4,8,1,1,0,3,3,0,1,2,0.27,0.29,367,657,86,3.2,11,2,0,2,0,NO,regular,Eliminado
2011-12,D. Worth,26,5,20,18,5,7,1,0,2,7,0,0,1,6,0.39,0.45,778,1228,246,6.3,14,3,1,0,0,NO,regular,Eliminado
2011-12,R. Pérez ,22,13,25,24,3,5,1,0,0,2,1,0,1,3,0.21,0.24,0.25,0.49,40,1.4,6,1,0,0,0,NO,regular,Eliminado
2011-12,J. Hoffmann,27,10,35,32,4,5,1,0,1,7,0,0,3,13,0.16,229,281,0.51,45,2.1,9,2,0,0,0,NO,regular,Eliminado
2011-12,J. Gibbons,34,6,23,21,1,1,0,0,0,1,0,0,1,5,0.05,0.13,48,178,-48,0.1,1,0,1,0,0,NO,regular,Eliminado
2011-12,Y. Sánchez,19,2,4,3,1,1,0,0,0,0,1,0,1,0,0.33,0.5,333,833,140,0.5,1,0,0,0,0,NO,regular,Eliminado
2011-12,O. Pérez,20,2,2,2,1,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,185,0.5,1,0,0,0,0,NO,regular,Eliminado
2011-12,H. Meneses,20,2,9,8,0,1,1,0,0,0,0,0,0,3,0.13,222,0.25,472,34,0.4,2,1,1,0,0,NO,regular,Eliminado
2011-12,J. Solorzano,21,2,1,0,1,0,0,0,0,0,0,0,0,0,,1,,,,,0,0,1,0,0,NO,regular,Eliminado
2010-11,C. Suarez,27,59,235,211,26,71,17,1,4,26,5,2,14,26,0.34,385,483,868,145,39.2,102,22,5,1,4,NO,regular,Eliminado
2010-11,M. Ramírez,26,53,218,185,21,53,9,0,2,19,0,0,25,40,0.29,381,368,748,112,25.9,68,11,5,0,3,NO,regular,Eliminado
2010-11,O. Salazar,32,44,187,171,17,48,7,0,3,25,0,0,14,22,0.28,333,374,708,100,21.3,64,10,0,1,1,NO,regular,Eliminado
2010-11,G. Blanco,27,45,191,149,30,42,6,1,1,9,11,4,35,30,0.28,425,356,0.78,122,22.5,53,8,2,5,0,NO,regular,Eliminado
2010-11,M. Rojas,21,48,144,122,12,38,3,0,0,9,3,3,13,11,0.31,382,336,718,104,15.7,41,3,1,8,0,NO,regular,Eliminado
2010-11,L. Rodríguez,30,44,178,146,17,35,7,1,1,15,2,3,25,15,0.24,349,322,671,91,16.4,47,9,0,6,1,NO,regular,Eliminado
2010-11,E. Bellorin,28,44,130,117,9,25,2,0,2,12,0,0,5,22,0.21,248,282,0.53,50,8.2,33,4,1,5,2,NO,regular,Eliminado
