years,jugador,edad,w,l,w-l%,era,g,gs,cg,sho,sv,ip,h,r,er,hr,bb,so,whip,h/9,hr/9,bb/9,so/9,so/bb,bk,refuerzo
2008-09,V. Bonilla,30,1,2,0.3333,4.5,5,5,0,0,0,26,33,13,13,2,6,14,1.5,11.42,0.69,2.08,4.85,2.3333,0,NO
2007-08,A. Ortega,22,0,0,,18,1,0,0,0,0,1,3,2,2,0,1,0,4,27,0,9,0,0,0,NO
2007-08,A. Tovar,29,0,0,,0,3,0,0,0,0,3,4,0,0,0,3,3,2333,12,0,9,9,1,0,NO
2007-08,B. Puffer,32,0,1,0,12,3,0,0,0,0,3,6,4,4,1,0,0,2,18,3,0,0,,0,NO
2007-08,C. González,21,0,0,,67.5,1,0,0,0,0,0.2,5,5,5,0,0,0,7.5,67.5,0,0,0,,0,NO
2007-08,E. González,25,0,2,0,7.62,3,3,0,0,0,13,19,12,11,2,4,7,1769,13.15,1.38,2.77,4.85,1.75,0,NO
2007-08,F. Quijada,23,0,0,,0,1,0,0,0,0,1.2,1,0,0,0,0,1,0.6,5.4,0,0,5.4,,0,NO
2007-08,F. Rodríguez,25,0,1,0,0,7,0,0,0,4,8.1,4,1,0,0,1,13,0.6,4.32,0,1.08,14.04,13,0,NO
2007-08,G. Casadiego,25,0,0,,3.6,7,0,0,0,0,5,10,3,2,0,2,2,2.4,18,0,3.6,3.6,1,0,NO
2007-08,G. Mata,24,0,1,0,2.84,4,0,0,0,0,6.1,9,3,2,1,1,0,1579,12.79,1.42,1.42,0,0,0,NO
2007-08,H. Totten,29,0,0,,6.43,7,0,0,0,0,7,8,5,5,0,3,3,1571,10.29,0,3.86,3.86,1,0,SI
2007-08,J. Gutierrez,24,3,0,1,1.96,4,4,0,0,0,23,18,5,5,0,4,24,957,7.04,0,1.57,9.39,6,0,SI
2007-08,K. Batista,26,0,0,,2.57,5,0,0,0,0,7,5,2,2,0,2,5,1,6.43,0,2.57,6.43,2.5,0,NO
2007-08,N. Acosta,24,0,1,0,2.84,3,1,0,0,0,6.1,9,3,2,0,2,2,1737,12.79,0,2.84,2.84,1,0,NO
2007-08,N. Rodríguez,36,0,0,,0,6,0,0,0,1,7,5,0,0,0,2,1,1,6.43,0,2.57,1.29,0.5,0,NO
2007-08,O. Álvarez,27,0,0,,0,2,0,0,0,0,3.1,2,0,0,0,0,1,0.6,5.4,0,0,2.7,,0,NO
2007-08,R. Medina,21,0,0,,2.08,5,0,0,0,0,4.1,5,1,1,1,1,4,1385,10.38,2.08,2.08,8.31,4,0,NO
2007-08,R. Salazar,26,0,0,,6.75,7,0,0,0,0,2.2,5,2,2,0,0,0,1875,16.88,0,0,0,,0,NO
2007-08,S. Randolph,33,2,1,0.6667,4.34,4,4,0,0,0,18.2,22,10,9,1,9,12,1661,10.61,0.48,4.34,5.79,1.3333,0,NO
2007-08,W. Collazo,28,2,2,0.5,3.57,4,4,0,0,0,22.2,28,12,9,2,5,13,1456,11.12,0.79,1.99,5.16,2.6,0,NO
2003-04,B. Pulsipher,30,1,1,0.5,7.04,2,2,0,,0,7.2,10,,6,,6,6,2087,11.74,,7.04,7.04,1,,NO
2003-04,D. Pacheco,25,1,0,1,1.69,8,0,0,,1,10.2,6,,2,,2,7,0.75,5.06,,1.69,5.91,3.5,,NO
2003-04,D. Reina,21,0,0,,0,1,0,0,,0,1,0,,0,,0,0,0,0,,0,0,,,NO
2003-04,E. Arteaga,22,1,0,1,3,2,1,0,,0,6,8,,2,,1,2,1.5,12,,1.5,3,2,,NO
2003-04,E. González,21,0,0,,1.69,5,0,0,,0,5.1,4,,1,,1,6,938,6.75,,1.69,10.13,6,,NO
2003-04,F. Lira,31,0,3,0,10.57,4,4,0,,0,15.1,29,,18,,4,10,2152,17.02,,2.35,5.87,2.5,,NO
2003-04,F. Rodríguez,21,0,1,0,1.74,9,0,0,,5,10.1,7,,2,,3,18,968,6.1,,2.61,15.68,6,,NO
2003-04,G. Casadiego,21,1,0,1,5.68,6,0,0,,0,6.1,5,,4,,2,4,1105,7.11,,2.84,5.68,2,,NO
2003-04,G. González,28,2,1,0.6667,1.45,3,3,0,,0,18.2,21,,3,,3,11,1286,10.13,,1.45,5.3,3.6667,,SI
2003-04,G. Mata,20,0,0,,5.4,3,1,0,,0,8.1,13,,5,,1,7,1.68,14.04,,1.08,7.56,7,,NO
2003-04,J. Rincon,24,0,1,0,3.45,3,3,0,,0,15.2,15,,6,,3,15,1149,8.62,,1.72,8.62,5,,SI
2003-04,M. Castillo,24,0,1,0,4.05,5,0,0,,0,6.2,7,,3,,1,5,1.2,9.45,,1.35,6.75,5,,NO
2003-04,M. González,25,1,0,1,0,6,0,0,,0,3.2,1,,0,,1,5,545,2.45,,2.45,12.27,5,,NO
2003-04,M. Romano,31,1,0,1,0,2,2,0,,0,13.2,7,,0,,2,10,659,4.61,,1.32,6.59,5,,SI
2003-04,R. Marquez,30,0,0,,15.43,4,0,0,,0,2.1,4,,4,,3,3,3,15.43,,11.57,11.57,1,,NO
2003-04,R. Salazar,22,0,0,,6.75,4,0,0,,0,1.1,0,,1,,1,2,0.75,0,,6.75,13.5,2,,NO
2003-04,S. Falteisek,31,0,0,,7.36,5,0,0,,0,7.1,10,,6,,6,6,2182,12.27,,7.36,7.36,1,,NO
2000-01,A. Conde,34,2,1,0.6667,4.3,6,1,0,,1,14.2,15,,7,,3,10,1227,9.2,,1.84,6.14,3.3333,,SI
2000-01,A. Hazlet,25,0,2,0,5.93,3,3,0,,0,13.2,22,,9,,4,12,1902,14.49,,2.63,7.9,3,,NO
2000-01,A. Levrault,23,0,0,,3.09,2,2,0,,0,11.2,5,,4,,3,6,686,3.86,,2.31,4.63,2,,NO
2000-01,B. Scanlan,34,0,0,,3.24,6,0,0,,1,8.1,10,,3,,2,2,1.44,10.8,,2.16,2.16,1,,NO
2000-01,C. Rodríguez,21,0,0,,18,2,0,0,,0,1,1,,2,,2,0,3,9,,18,0,0,,NO
2000-01,D. Pacheco,22,1,2,0.3333,8.1,3,3,0,,0,10,13,,9,,6,4,1.9,11.7,,5.4,3.6,0.6667,,NO
2000-01,E. González,18,0,0,,4.5,2,0,0,,0,2,2,,1,,1,1,1.5,9,,4.5,4.5,1,,NO
2000-01,E. Pérez,28,0,1,0,2.7,6,0,0,,0,6.2,6,,2,,2,3,1.2,8.1,,2.7,4.05,1.5,,NO
2000-01,F. Lira,28,1,3,0.25,2.57,4,4,1,,0,28,24,,8,,3,7,964,7.71,,0.96,2.25,2.3333,,NO
